n,geqrf_ms,geqrf_tflops,orgqr_ms,orgqr_tflops,total_ms,total_tflops
14336,4419.332,0.888927,411.417,9.548628,4830.748,1.626441
16384,5920.597,0.990451,620.830,9.445515,6541.427,1.792900
18432,7301.463,1.143526,916.653,9.108585,8218.117,2.031954
20480,9050.721,1.265451,1240.718,9.231141,10291.440,2.225781
22528,10911.863,1.397036,1660.076,9.182876,12571.939,2.425126
24576,13142.246,1.505923,2890.157,6.847797,16032.403,2.468901
26624,15235.360,1.651604,2880.031,8.736982,18115.391,2.778056
