n,geqrf_ms,geqrf_tflops,orgqr_ms,orgqr_tflops,total_ms,total_tflops
16384,5924.562,0.989788,486.595,12.051223,6411.156,1.829331
20480,9058.151,1.264413,1117.198,10.251757,10175.349,2.251175
24576,13137.397,1.506479,1961.328,10.090717,15098.726,2.621573
28672,17743.434,1.771230,3217.018,9.769205,20960.452,2.998762
32768,23677.765,1.981289,4984.186,9.412269,28661.951,3.273503
36864,29324.963,2.277764,7102.753,9.404147,36427.716,3.667281
