n,geqrf_ms,geqrf_tflops,orgqr_ms,orgqr_tflops,total_ms,total_tflops
8192,1525.959,0.480359,98.343,7.453615,1624.301,0.902551
12288,3418.897,0.723596,320.338,7.722780,3739.235,1.323212
16384,6100.228,0.961286,738.513,7.940363,6838.741,1.714954
20480,9496.975,1.205989,1530.742,7.482151,11027.717,2.077174
24576,13733.054,1.441137,2517.324,7.862003,16250.378,2.435784
28672,18626.167,1.687288,4020.795,7.816292,22646.962,2.775446
32768,24423.894,1.920762,5910.879,7.936637,30334.773,3.092985
